"location","dimension","time","value"
"Albania","Apples","day 001",61.6698687179234
"Albania","Apples","day 002",60.8817551321617
"Albania","Apples","day 003",59.9513729727661
"Albania","Apples","day 004",58.7387301185826
"Albania","Apples","day 005",57.1373723206939
"Albania","Apples","day 006",55.2100864883208
"Albania","Apples","day 007",53.1621164685592
"Albania","Apples","day 008",51.5992927018665
"Albania","Apples","day 009",51.0897503466904
"Albania","Apples","day 010",51.6502568400779
"Albania","Apples","day 011",53.0934019350985
"Albania","Apples","day 012",54.9664323703116
"Albania","Apples","day 013",56.8215308100519
"Albania","Apples","day 014",58.4959666362646
"Albania","Apples","day 015",59.9297752608212
"Albania","Apples","day 016",61.1889694976876
"Albania","Apples","day 017",62.3401914352261
"Albania","Apples","day 018",63.3266228572898
"Albania","Apples","day 019",64.0540023951081
"Albania","Apples","day 020",64.401756373925
"Albania","Apples","day 021",64.2664719176298
"Albania","Apples","day 022",63.6396916506795
"Albania","Apples","day 023",62.5736629837099
"Albania","Apples","day 024",61.2621268582382
"Albania","Apples","day 025",59.9103096737603
"Albania","Apples","day 026",58.6838959913068
"Albania","Apples","day 027",57.6158834711079
"Albania","Apples","day 028",56.6864091017631
"Albania","Apples","day 029",55.7968540861498
"Albania","Apples","day 030",54.8890815727338
"Albania","Apples","day 031",54.1456382780557
"Albania","Apples","day 032",53.7706471920739
"Albania","Apples","day 033",53.8138528303433
"Albania","Apples","day 034",54.2205376382812
"Albania","Apples","day 035",54.6725142551592
"Albania","Apples","day 036",54.8350204179118
"Albania","Apples","day 037",54.5704640602705
"Albania","Apples","day 038",53.8446463663603
"Albania","Apples","day 039",52.8397713250836
"Albania","Apples","day 040",51.7983427521951
"Albania","Apples","day 041",50.9876609660842
"Albania","Apples","day 042",50.590986879042
"Albania","Apples","day 043",50.430627276333
"Albania","Apples","day 044",50.3218175882404
"Albania","Apples","day 045",50.3591901459195
"Albania","Apples","day 046",50.5074572323909
"Albania","Apples","day 047",50.6637573898276
"Albania","Apples","day 048",50.6680214219207
"Albania","Apples","day 049",50.4157555698748
"Albania","Apples","day 050",50.0819755634303
"Albania","Apples","day 051",49.878803719838
"Albania","Apples","day 052",49.8872792178563
"Albania","Apples","day 053",50.1375834402606
"Albania","Apples","day 054",50.5875497243882
"Albania","Apples","day 055",51.1929368532948
"Albania","Apples","day 056",51.9735534383475
"Albania","Apples","day 057",52.9251919857337
"Albania","Apples","day 058",53.8835307526098
"Albania","Apples","day 059",54.6717412563825
"Albania","Apples","day 060",55.2230823044897
"Albania","Apples","day 061",55.5304029462007
"Albania","Apples","day 062",55.7148259080802
"Albania","Apples","day 063",55.9161414132656
"Albania","Apples","day 064",56.2205359938918
"Albania","Apples","day 065",56.6983340888122
"Albania","Apples","day 066",57.3712525276203
"Albania","Apples","day 067",58.1034952608258
"Albania","Apples","day 068",58.7149116201733
"Albania","Apples","day 069",59.0029841708986
"Albania","Apples","day 070",58.7882076232573
"Albania","Apples","day 071",58.0054920340902
"Albania","Apples","day 072",56.6449609247132
"Albania","Apples","day 073",54.8031763277554
"Albania","Apples","day 074",52.6236233117356
"Albania","Apples","day 075",50.3310405774175
"Albania","Apples","day 076",48.1294909875453
"Albania","Apples","day 077",46.05908042054
"Albania","Apples","day 078",44.0957122291178
"Albania","Apples","day 079",42.1224366475008
"Albania","Apples","day 080",40.055471652261
"Albania","Apples","day 081",38.0365593078653
"Albania","Apples","day 082",36.2411605049761
"Albania","Apples","day 083",34.7540873511431
"Albania","Apples","day 084",33.6393145164703
"Albania","Apples","day 085",32.9681157043923
"Albania","Apples","day 086",32.7454581063215
"Albania","Apples","day 087",32.7405128720078
"Albania","Apples","day 088",32.8012360398704
"Albania","Apples","day 089",32.8349197476318
"Albania","Apples","day 090",32.8392843712021
"Albania","Apples","day 091",32.841851939966
"Albania","Apples","day 092",32.8989228590188
"Albania","Apples","day 093",33.0689443970272
"Albania","Apples","day 094",33.3901729012316
"Albania","Apples","day 095",33.8976535934328
"Albania","Apples","day 096",34.6337781150974
"Albania","Apples","day 097",35.6295463470021
"Albania","Apples","day 098",36.8630447074969
"Albania","Apples","day 099",38.3049473106737
"Albania","Apples","day 100",39.9491925160187
"Albania","Apples","day 101",41.7764426054462
"Albania","Apples","day 102",43.6909913051879
"Albania","Apples","day 103",45.583804250831
"Albania","Apples","day 104",47.3689032710695
"Albania","Apples","day 105",48.9389109067072
"Albania","Apples","day 106",50.0777963538838
"Albania","Apples","day 107",50.5974974804343
"Albania","Apples","day 108",50.5605370902048
"Albania","Apples","day 109",50.2047976131565
"Albania","Apples","day 110",49.8850448909822
"Albania","Apples","day 111",50.3033507940453
"Albania","Apples","day 112",51.9351502122535
"Albania","Apples","day 113",54.00202408502
"Albania","Apples","day 114",55.5769542833462
"Albania","Apples","day 115",56.3923803550827
"Albania","Apples","day 116",56.4463056763645
"Albania","Apples","day 117",56.1395312596162
"Albania","Apples","day 118",55.7485138701707
"Albania","Apples","day 119",54.6495356487046
"Albania","Apples","day 120",52.1371994768477
"Albania","Apples","day 121",48.079565824699
"Albania","Apples","day 122",42.950608428744
"Albania","Apples","day 123",39.0744965025446
"Albania","Apples","day 124",38.4962443693065
"Albania","Apples","day 125",40.294051313735
"Albania","Apples","day 126",42.9737239953786
"Albania","Apples","day 127",45.7183136116604
"Albania","Apples","day 128",48.0225858036924
"Albania","Apples","day 129",49.9349075643691
"Albania","Apples","day 130",51.5820016554124
"Albania","Apples","day 131",53.0586564271745
"Albania","Apples","day 132",54.395970124923
"Albania","Apples","day 133",55.5429861774385
"Albania","Apples","day 134",56.184218852639
"Albania","Apples","day 135",56.0395040316823
"Albania","Apples","day 136",55.234493209551
"Albania","Apples","day 137",53.9535207911227
"Albania","Apples","day 138",52.2098372070324
"Albania","Apples","day 139",50.0503341368406
"Albania","Apples","day 140",47.8275522300545
"Albania","Apples","day 141",45.9278085094269
"Albania","Apples","day 142",44.5668765207486
"Albania","Apples","day 143",43.8276603632019
"Albania","Apples","day 144",43.4321298264976
"Albania","Apples","day 145",43.0522109830564
"Albania","Apples","day 146",42.5205893456098
"Albania","Apples","day 147",41.713995201184
"Albania","Apples","day 148",40.5245784936725
"Albania","Apples","day 149",38.8951673548716
"Albania","Apples","day 150",36.9558830113224
"Albania","Oranges","day 001",39.693957059167
"Albania","Oranges","day 002",39.3179855590543
"Albania","Oranges","day 003",38.9339267295259
"Albania","Oranges","day 004",38.4229055923764
"Albania","Oranges","day 005",37.6451584848782
"Albania","Oranges","day 006",36.5035265998239
"Albania","Oranges","day 007",35.0282047534184
"Albania","Oranges","day 008",33.7161973999976
"Albania","Oranges","day 009",33.0885679277236
"Albania","Oranges","day 010",33.2958058219337
"Albania","Oranges","day 011",34.305763951265
"Albania","Oranges","day 012",35.7263226203812
"Albania","Oranges","day 013",37.1301376824313
"Albania","Oranges","day 014",38.3089397484828
"Albania","Oranges","day 015",39.1449684171693
"Albania","Oranges","day 016",39.663424479471
"Albania","Oranges","day 017",39.9054766564183
"Albania","Oranges","day 018",39.8332041968943
"Albania","Oranges","day 019",39.4239038341101
"Albania","Oranges","day 020",38.7948317107368
"Albania","Oranges","day 021",38.0925552448278
"Albania","Oranges","day 022",37.4409275465084
"Albania","Oranges","day 023",36.9465760684388
"Albania","Oranges","day 024",36.6757668519294
"Albania","Oranges","day 025",36.7065265001282
"Albania","Oranges","day 026",37.0943226024686
"Albania","Oranges","day 027",37.7810790512061
"Albania","Oranges","day 028",38.6719875977064
"Albania","Oranges","day 029",39.638855126952
"Albania","Oranges","day 030",40.5887303645834
"Albania","Oranges","day 031",41.6030142652555
"Albania","Oranges","day 032",42.781612758965
"Albania","Oranges","day 033",44.1240994480599
"Albania","Oranges","day 034",45.5600125802072
"Albania","Oranges","day 035",46.8390813119951
"Albania","Oranges","day 036",47.6987149907866
"Albania","Oranges","day 037",48.0068528181221
"Albania","Oranges","day 038",47.697168844337
"Albania","Oranges","day 039",46.8357466607717
"Albania","Oranges","day 040",45.5340286771092
