"location","dimension","time","value"
"Albania","Tomatoes","day 001",73.0500905362174
"Albania","Tomatoes","day 002",70.564829788033
"Albania","Tomatoes","day 003",68.5305360463399
"Albania","Tomatoes","day 004",67.425877087869
"Albania","Tomatoes","day 005",67.5509148983434
"Albania","Tomatoes","day 006",68.4174577574913
"Albania","Tomatoes","day 007",69.3714201625346
"Albania","Tomatoes","day 008",69.8833951866652
"Albania","Tomatoes","day 009",69.6370693494315
"Albania","Tomatoes","day 010",69.0438243798366
"Albania","Tomatoes","day 011",68.6023891000219
"Albania","Tomatoes","day 012",68.4331854952259
"Albania","Tomatoes","day 013",68.5458569418126
"Albania","Tomatoes","day 014",68.8852392175503
"Albania","Tomatoes","day 015",69.3744179988384
"Albania","Tomatoes","day 016",69.9142861551954
"Albania","Tomatoes","day 017",70.4077897307885
"Albania","Tomatoes","day 018",70.788280275261
"Albania","Tomatoes","day 019",71.0142146256132
"Albania","Tomatoes","day 020",71.1140652627991
"Albania","Tomatoes","day 021",71.1265770434705
"Albania","Tomatoes","day 022",71.0615686831182
"Albania","Tomatoes","day 023",70.9225439955377
"Albania","Tomatoes","day 024",70.7225012340807
"Albania","Tomatoes","day 025",70.4986669063934
"Albania","Tomatoes","day 026",70.2962552351262
"Albania","Tomatoes","day 027",70.1691196822468
"Albania","Tomatoes","day 028",70.157358509942
"Albania","Tomatoes","day 029",70.2374099419578
"Albania","Tomatoes","day 030",70.3636265072287
"Albania","Tomatoes","day 031",70.4656779938825
"Albania","Tomatoes","day 032",70.4755838902851
"Albania","Tomatoes","day 033",70.359445226559
"Albania","Tomatoes","day 034",70.097727218915
"Albania","Tomatoes","day 035",69.6942702861579
"Albania","Tomatoes","day 036",69.1608389633957
"Albania","Tomatoes","day 037",68.5175190483539
"Albania","Tomatoes","day 038",67.7919665729813
"Albania","Tomatoes","day 039",67.0337972435031
"Albania","Tomatoes","day 040",66.2857813804384
"Albania","Tomatoes","day 041",65.5413480872056
"Albania","Tomatoes","day 042",64.7889207974257
"Albania","Tomatoes","day 043",64.0462414826311
"Albania","Tomatoes","day 044",63.342527754708
"Albania","Tomatoes","day 045",62.7200651516207
"Albania","Tomatoes","day 046",62.2112208275123
"Albania","Tomatoes","day 047",61.8384247672414
"Albania","Tomatoes","day 048",61.5984226682266
"Albania","Tomatoes","day 049",61.4924470120688
"Albania","Tomatoes","day 050",61.5653617045378
"Albania","Tomatoes","day 051",61.8498617545088
"Albania","Tomatoes","day 052",62.2863351591106
"Albania","Tomatoes","day 053",62.7994981821141
"Albania","Tomatoes","day 054",63.3436871656065
"Albania","Tomatoes","day 055",63.9019280279109
"Albania","Tomatoes","day 056",64.5423849139789
"Albania","Tomatoes","day 057",65.3488118997564
"Albania","Tomatoes","day 058",66.3821845585394
"Albania","Tomatoes","day 059",67.6631580330567
"Albania","Tomatoes","day 060",69.0738842464175
"Albania","Tomatoes","day 061",70.4717264238412
"Albania","Tomatoes","day 062",71.7533962186068
"Albania","Tomatoes","day 063",72.8590123541008
"Albania","Tomatoes","day 064",73.8629734060802
"Albania","Tomatoes","day 065",74.8648546357092
"Albania","Tomatoes","day 066",75.9103868784275
"Albania","Tomatoes","day 067",76.9558224320514
"Albania","Tomatoes","day 068",77.8972274580367
"Albania","Tomatoes","day 069",78.471008832337
"Albania","Tomatoes","day 070",78.4259046464004
"Albania","Tomatoes","day 071",77.7196371391544
"Albania","Tomatoes","day 072",76.4031946680888
"Albania","Tomatoes","day 073",74.6916459174635
"Albania","Tomatoes","day 074",72.8367027983518
"Albania","Tomatoes","day 075",71.0725698023113
"Albania","Tomatoes","day 076",69.5937052874678
"Albania","Tomatoes","day 077",68.453090497733
"Albania","Tomatoes","day 078",67.7014099626154
"Albania","Tomatoes","day 079",67.5216384682241
"Albania","Tomatoes","day 080",68.0720156156439
"Albania","Tomatoes","day 081",69.2795500092612
"Albania","Tomatoes","day 082",70.9082606355558
"Albania","Tomatoes","day 083",72.3014390060789
"Albania","Tomatoes","day 084",72.6862396283822
"Albania","Tomatoes","day 085",71.2459964689469
"Albania","Tomatoes","day 086",68.5880020509886
"Albania","Tomatoes","day 087",69.0078787957459
"Albania","Tomatoes","day 088",70.030863336525
"Albania","Tomatoes","day 089",68.2960113325699
"Albania","Tomatoes","day 090",65.102954026807
"Albania","Tomatoes","day 091",62.4363213880165
"Albania","Tomatoes","day 092",60.3601627047094
"Albania","Tomatoes","day 093",58.5296498276101
"Albania","Tomatoes","day 094",56.8850255365665
"Albania","Tomatoes","day 095",55.4257581432592
"Albania","Tomatoes","day 096",54.1031471575781
"Albania","Tomatoes","day 097",52.8847823775039
"Albania","Tomatoes","day 098",51.8515835551702
"Albania","Tomatoes","day 099",51.0807398443852
"Albania","Tomatoes","day 100",50.5211880515012
"Albania","Tomatoes","day 101",50.1093964912985
"Albania","Tomatoes","day 102",49.8602118597257
"Albania","Tomatoes","day 103",49.7587465249049
"Albania","Tomatoes","day 104",49.5927971624863
"Albania","Tomatoes","day 105",49.1117758900647
"Albania","Tomatoes","day 106",48.1088722854871
"Albania","Tomatoes","day 107",46.4885123498698
"Albania","Tomatoes","day 108",44.5423336134824
"Albania","Tomatoes","day 109",42.606438850112
"Albania","Tomatoes","day 110",40.9588140180988
"Albania","Tomatoes","day 111",39.7008046286868
"Albania","Tomatoes","day 112",38.8756871456649
"Albania","Tomatoes","day 113",38.4711022900986
"Albania","Tomatoes","day 114",38.471008832337
"Albania","Tomatoes","day 115",38.9002734825871
"Albania","Tomatoes","day 116",39.7668064343224
"Albania","Tomatoes","day 117",40.9697838742253
"Albania","Tomatoes","day 118",42.3736439651002
"Albania","Tomatoes","day 119",43.8126067810307
"Albania","Tomatoes","day 120",45.1223396087426
"Albania","Tomatoes","day 121",46.1745166742523
"Albania","Tomatoes","day 122",46.8564236711753
"Albania","Tomatoes","day 123",47.0817852242338
"Albania","Tomatoes","day 124",46.8126002409269
"Albania","Tomatoes","day 125",46.1775258287537
"Albania","Tomatoes","day 126",45.3460435949107
"Albania","Tomatoes","day 127",44.4842749453834
"Albania","Tomatoes","day 128",43.7270521506797
"Albania","Tomatoes","day 129",43.1043218477468
"Albania","Tomatoes","day 130",42.6832244169164
"Albania","Tomatoes","day 131",42.5441359087266
"Albania","Tomatoes","day 132",42.7527322259831
"Albania","Tomatoes","day 133",43.3247733463209
"Albania","Tomatoes","day 134",44.0910556944248
"Albania","Tomatoes","day 135",44.8533490254054
"Albania","Tomatoes","day 136",45.4822799690281
"Albania","Tomatoes","day 137",45.8974097405575
"Albania","Tomatoes","day 138",46.1451810226016
"Albania","Tomatoes","day 139",46.2853294247804
"Albania","Tomatoes","day 140",46.3038807974188
"Albania","Tomatoes","day 141",46.1823893841044
"Albania","Tomatoes","day 142",45.9582327607705
"Albania","Tomatoes","day 143",45.6676109195954
"Albania","Tomatoes","day 144",45.2861901853905
"Albania","Tomatoes","day 145",44.7906131836859
"Albania","Tomatoes","day 146",44.2219614102547
"Albania","Tomatoes","day 147",43.6274649220899
"Albania","Tomatoes","day 148",43.0145091508237
"Albania","Tomatoes","day 149",42.3832043650151
"Albania","Tomatoes","day 150",41.7444048062916
"Albania","Carrots","day 001",33.0882742813116
"Albania","Carrots","day 002",31.5565242993282
"Albania","Carrots","day 003",30.349251752927
"Albania","Carrots","day 004",30.0994474918148
"Albania","Carrots","day 005",31.2647859078256
"Albania","Carrots","day 006",33.2144439199633
"Albania","Carrots","day 007",35.0892711140213
"Albania","Carrots","day 008",36.2053052157837
"Albania","Carrots","day 009",36.1629054798986
"Albania","Carrots","day 010",35.5245291364809
"Albania","Carrots","day 011",34.9648140760059
"Albania","Carrots","day 012",34.6450228549231
"Albania","Carrots","day 013",34.5781588063481
"Albania","Carrots","day 014",34.6975637040853
"Albania","Carrots","day 015",34.914978611085
"Albania","Carrots","day 016",35.1354033061903
"Albania","Carrots","day 017",35.2707137609766
"Albania","Carrots","day 018",35.2670320020541
"Albania","Carrots","day 019",35.1015200450653
"Albania","Carrots","day 020",34.8412538067488
"Albania","Carrots","day 021",34.5569864590124
"Albania","Carrots","day 022",34.2442662933461
"Albania","Carrots","day 023",33.890790870548
"Albania","Carrots","day 024",33.535794099428
"Albania","Carrots","day 025",33.2603979396466
"Albania","Carrots","day 026",33.1404198072508
"Albania","Carrots","day 027",33.1995213823939
"Albania","Carrots","day 028",33.4336829854641
"Albania","Carrots","day 029",33.7803152336818
"Albania","Carrots","day 030",34.1627345253111
"Albania","Carrots","day 031",34.5064500859575
"Albania","Carrots","day 032",34.75689770033
"Albania","Carrots","day 033",34.9370265622087
"Albania","Carrots","day 034",35.0687752518954
"Albania","Carrots","day 035",35.0925264867074
"Albania","Carrots","day 036",34.9542607693132
"Albania","Carrots","day 037",34.7039056067719
"Albania","Carrots","day 038",34.4191233589567
"Albania","Carrots","day 039",34.184568792609
"Albania","Carrots","day 040",34.0601377804442
"Albania","Carrots","day 041",33.9996982122076
"Albania","Carrots","day 042",33.955749159606
"Albania","Carrots","day 043",33.9813424051628
"Albania","Carrots","day 044",34.1625156209725
"Albania","Carrots","day 045",34.6031305979311
"Albania","Carrots","day 046",35.3606299241375
"Albania","Carrots","day 047",36.4072783260084
"Albania","Carrots","day 048",37.4288959978964
"Albania","Carrots","day 049",38.081250579422
"Albania","Carrots","day 050",38.1863440233401
"Albania","Carrots","day 051",37.7359863810123
"Albania","Carrots","day 052",37.234985785091
"Albania","Carrots","day 053",37.1717267030796
"Albania","Carrots","day 054",37.4559008605932
"Albania","Carrots","day 055",37.9148180118494
"Albania","Carrots","day 056",38.6249527673634
"Albania","Carrots","day 057",39.7032972610026
"Albania","Carrots","day 058",41.1797488637455
"Albania","Carrots","day 059",43.0241305598194
"Albania","Carrots","day 060",45.0530625493358
"Albania","Carrots","day 061",47.0718413185862
"Albania","Carrots","day 062",48.9936712826984
"Albania","Carrots","day 063",50.7992910081157
"Albania","Carrots","day 064",52.6316677377089
"Albania","Carrots","day 065",54.654759188363
"Albania","Carrots","day 066",56.9343031045311
"Albania","Carrots","day 067",59.4366577673202
"Albania","Carrots","day 068",62.0349715093766
"Albania","Carrots","day 069",64.3093656377591
"Albania","Carrots","day 070",65.850420470381
"Albania","Carrots","day 071",66.5835793941603
"Albania","Carrots","day 072",66.5735761824596
"Albania","Carrots","day 073",66.107443085413
"Albania","Carrots","day 074",65.5040200873757
"Albania","Carrots","day 075",64.9870796328152
"Albania","Carrots","day 076",64.6954010723976
"Albania","Carrots","day 077",64.5228589214719
"Albania","Carrots","day 078",64.2754507696286
"Albania","Carrots","day 079",63.6525713387396
"Albania","Carrots","day 080",62.4492408017896
"Albania","Carrots","day 081",60.9495840039314
"Albania","Carrots","day 082",59.6129880372128
"Albania","Carrots","day 083",59.1107843090934
"Albania","Carrots","day 084",60.1868042415883
"Albania","Carrots","day 085",63.662934999524
"Albania","Carrots","day 086",68.2489594687772
"Albania","Carrots","day 087",67.1975623732054
"Albania","Carrots","day 088",63.907309008386
"Albania","Carrots","day 089",63.2775861608034
"Albania","Carrots","day 090",63.9335677941987
"Albania","Carrots","day 091",63.5586723303065
"Albania","Carrots","day 092",62.3435088455768
"Albania","Carrots","day 093",60.9566965993405
"Albania","Carrots","day 094",59.4717049277381
"Albania","Carrots","day 095",57.8686769929283
"Albania","Carrots","day 096",56.3496011843331
"Albania","Carrots","day 097",55.1368134715092
"Albania","Carrots","day 098",54.3121949172875
"Albania","Carrots","day 099",53.9229520500516
"Albania","Carrots","day 100",54.0180481671207
"Albania","Carrots","day 101",54.6619196035422
"Albania","Carrots","day 102",55.979138076339
"Albania","Carrots","day 103",57.9779535489133
"Albania","Carrots","day 104",60.1411935882102
"Albania","Carrots","day 105",61.8532783412546
"Albania","Carrots","day 106",62.6304206718498
"Albania","Carrots","day 107",62.2046836041776
"Albania","Carrots","day 108",60.999976664254
"Albania","Carrots","day 109",59.4640656676739
"Albania","Carrots","day 110",57.9570141391889
"Albania","Carrots","day 111",56.6471221317833
"Albania","Carrots","day 112",55.6377735657413
"Albania","Carrots","day 113",54.9644513023165
"Albania","Carrots","day 114",54.6488081358133
"Albania","Carrots","day 115",54.7250776517724
"Albania","Carrots","day 116",55.1903249867156
"Albania","Carrots","day 117",55.880360689853
"Albania","Carrots","day 118",56.6121412418533
"Albania","Carrots","day 119",57.288461436532
"Albania","Carrots","day 120",57.8474161237977
"Albania","Carrots","day 121",58.2824620647834
"Albania","Carrots","day 122",58.5863821655814
"Albania","Carrots","day 123",58.6939020008944
"Albania","Carrots","day 124",58.5609025919772
"Albania","Carrots","day 125",58.2859440776816
"Albania","Carrots","day 126",57.9993121776284
"Albania","Carrots","day 127",57.8155158169168
"Albania","Carrots","day 128",57.7927718436629
"Albania","Carrots","day 129",57.828917041557
"Albania","Carrots","day 130",57.9654861118852
